"Kategorie","Name","Wert","Status"
"Netzwerk","Internetverbindung","Ping zu 8.8.8.8","OK"
"Netzwerk","Interner Zielhost","192.168.56.1","Erreichbar"
"Pfad","Lokaler Pfad","C:\","Erreichbar"
"Speicher","Freier Speicher (GB)","346,55","OK"
"CPU","Auslastung (%)","2","OK"
"System","Computer","CC-NXB1BEG00541","Info"
"System","Benutzer","CC-Student","Info"
"System","Betriebssystem","Microsoft Windows 10 Education","Info"
"Dienst","Spooler","Running","OK"
"Dienst","wuauserv","Stopped","Fehler"
"Dienst","WinDefend","Running","OK"
"Dienst","LanmanWorkstation","Running","OK"
